# ULUNAS 模型参数索引
# 生成时间: 2026-06-26 12:22:38
# 总参数数: 431
# 总元素数: 172,312
#
# MATLAB 变量名                                                   原始参数名                                                        Shape                            元素数
# ============================================================ ============================================================ ========================= ==========
  encoder_en_convs_4_dconv_4_ta_gru_weight_ih_l0               encoder.en_convs.4.dconv.4.ta_gru.weight_ih_l0               (96, 16)                        1536
  encoder_en_convs_4_dconv_4_ta_gru_weight_hh_l0               encoder.en_convs.4.dconv.4.ta_gru.weight_hh_l0               (96, 32)                        3072
  encoder_en_convs_4_dconv_4_ta_gru_bias_ih_l0                 encoder.en_convs.4.dconv.4.ta_gru.bias_ih_l0                 (96,)                             96
  encoder_en_convs_4_dconv_4_ta_gru_bias_hh_l0                 encoder.en_convs.4.dconv.4.ta_gru.bias_hh_l0                 (96,)                             96
  encoder_en_convs_4_dconv_4_ta_fc_weight                      encoder.en_convs.4.dconv.4.ta_fc.weight                      (16, 32)                         512
  encoder_en_convs_4_dconv_4_ta_fc_bias                        encoder.en_convs.4.dconv.4.ta_fc.bias                        (16,)                             16
  encoder_en_convs_4_dconv_4_fa_gru_weight_ih_l0               encoder.en_convs.4.dconv.4.fa.gru.weight_ih_l0               (12, 4)                           48
  encoder_en_convs_4_dconv_4_fa_gru_weight_hh_l0               encoder.en_convs.4.dconv.4.fa.gru.weight_hh_l0               (12, 4)                           48
  encoder_en_convs_4_dconv_4_fa_gru_bias_ih_l0                 encoder.en_convs.4.dconv.4.fa.gru.bias_ih_l0                 (12,)                             12
  encoder_en_convs_4_dconv_4_fa_gru_bias_hh_l0                 encoder.en_convs.4.dconv.4.fa.gru.bias_hh_l0                 (12,)                             12
  encoder_en_convs_4_dconv_4_fa_gru_weight_ih_l0_reverse       encoder.en_convs.4.dconv.4.fa.gru.weight_ih_l0_reverse       (12, 4)                           48
  encoder_en_convs_4_dconv_4_fa_gru_weight_hh_l0_reverse       encoder.en_convs.4.dconv.4.fa.gru.weight_hh_l0_reverse       (12, 4)                           48
  encoder_en_convs_4_dconv_4_fa_gru_bias_ih_l0_reverse         encoder.en_convs.4.dconv.4.fa.gru.bias_ih_l0_reverse         (12,)                             12
  encoder_en_convs_4_dconv_4_fa_gru_bias_hh_l0_reverse         encoder.en_convs.4.dconv.4.fa.gru.bias_hh_l0_reverse         (12,)                             12
  encoder_en_convs_4_dconv_4_fa_fc_weight                      encoder.en_convs.4.dconv.4.fa.fc.weight                      (4, 8)                            32
  encoder_en_convs_4_dconv_4_fa_fc_bias                        encoder.en_convs.4.dconv.4.fa.fc.bias                        (4,)                               4
  dpgrnn_0_intra_rnn_rnn1_weight_ih_l0                         dpgrnn.0.intra_rnn.rnn1.weight_ih_l0                         (12, 8)                           96
  dpgrnn_0_intra_rnn_rnn1_weight_hh_l0                         dpgrnn.0.intra_rnn.rnn1.weight_hh_l0                         (12, 4)                           48
  dpgrnn_0_intra_rnn_rnn1_bias_ih_l0                           dpgrnn.0.intra_rnn.rnn1.bias_ih_l0                           (12,)                             12
  dpgrnn_0_intra_rnn_rnn1_bias_hh_l0                           dpgrnn.0.intra_rnn.rnn1.bias_hh_l0                           (12,)                             12
  dpgrnn_0_intra_rnn_rnn1_weight_ih_l0_reverse                 dpgrnn.0.intra_rnn.rnn1.weight_ih_l0_reverse                 (12, 8)                           96
  dpgrnn_0_intra_rnn_rnn1_weight_hh_l0_reverse                 dpgrnn.0.intra_rnn.rnn1.weight_hh_l0_reverse                 (12, 4)                           48
  dpgrnn_0_intra_rnn_rnn1_bias_ih_l0_reverse                   dpgrnn.0.intra_rnn.rnn1.bias_ih_l0_reverse                   (12,)                             12
  dpgrnn_0_intra_rnn_rnn1_bias_hh_l0_reverse                   dpgrnn.0.intra_rnn.rnn1.bias_hh_l0_reverse                   (12,)                             12
  dpgrnn_0_intra_rnn_rnn2_weight_ih_l0                         dpgrnn.0.intra_rnn.rnn2.weight_ih_l0                         (12, 8)                           96
  dpgrnn_0_intra_rnn_rnn2_weight_hh_l0                         dpgrnn.0.intra_rnn.rnn2.weight_hh_l0                         (12, 4)                           48
  dpgrnn_0_intra_rnn_rnn2_bias_ih_l0                           dpgrnn.0.intra_rnn.rnn2.bias_ih_l0                           (12,)                             12
  dpgrnn_0_intra_rnn_rnn2_bias_hh_l0                           dpgrnn.0.intra_rnn.rnn2.bias_hh_l0                           (12,)                             12
  dpgrnn_0_intra_rnn_rnn2_weight_ih_l0_reverse                 dpgrnn.0.intra_rnn.rnn2.weight_ih_l0_reverse                 (12, 8)                           96
  dpgrnn_0_intra_rnn_rnn2_weight_hh_l0_reverse                 dpgrnn.0.intra_rnn.rnn2.weight_hh_l0_reverse                 (12, 4)                           48
  dpgrnn_0_intra_rnn_rnn2_bias_ih_l0_reverse                   dpgrnn.0.intra_rnn.rnn2.bias_ih_l0_reverse                   (12,)                             12
  dpgrnn_0_intra_rnn_rnn2_bias_hh_l0_reverse                   dpgrnn.0.intra_rnn.rnn2.bias_hh_l0_reverse                   (12,)                             12
  dpgrnn_0_intra_fc_weight                                     dpgrnn.0.intra_fc.weight                                     (16, 16)                         256
  dpgrnn_0_intra_fc_bias                                       dpgrnn.0.intra_fc.bias                                       (16,)                             16
